name,LOA_m,LBP_m,B_m,D_m,T_m,Cb,L_B,disp_t,Vs_kn,range_nm,DWT_target_t,crew,Fn,Rt_kN,PE_kW,PB_kW,fuel_t_day,fuel_cap_t,eta_propulsive,W_steel_t,W_lightship_t,W_DWT_t,W_cargo_t,GM_loaded_m,freeboard_m,stable,build_cost_M,opex_M_yr
T100,100,96.71052631578947,15.131578947368421,8.223684210526317,5.592105263157896,0.78,6.391,6543.0,14.0,8000,6811.780336670928,10,0.2338,152.1,1095.0,1302.0,5.47,143.0,0.968,1429.0,1555.0,4988.0,4776.0,6.35,2.63,True,25.3,3.3
T105,105,101.54605263157895,15.888157894736842,8.634868421052632,5.871710526315789,0.78,6.391,7574.0,14.0,8000,7808.914575858283,10,0.2282,166.2,1197.0,1422.0,5.97,156.0,0.968,1632.0,1764.0,5810.0,5584.0,6.678,2.76,True,28.2,3.5
T110,110,106.38157894736841,16.644736842105264,9.046052631578947,6.151315789473684,0.78,6.391,8708.0,14.0,8000,8895.290854263127,10,0.2229,180.8,1302.0,1548.0,6.5,170.0,0.968,1852.0,1992.0,6717.0,6477.0,7.007,2.89,True,31.4,3.7
T115,115,111.21710526315789,17.401315789473685,9.457236842105262,6.430921052631579,0.78,6.391,9951.0,14.0,8000,10074.29322901543,10,0.218,196.1,1412.0,1678.0,7.05,185.0,0.968,2090.0,2238.0,7713.0,7459.0,7.335,3.03,True,34.8,3.9
T120,120,116.05263157894737,18.157894736842106,9.868421052631579,6.7105263157894735,0.78,6.391,11306.0,14.0,8000,11349.275108308875,10,0.2134,211.8,1525.0,1813.0,7.61,199.0,0.968,2347.0,2503.0,8803.0,8535.0,7.662,3.16,True,38.5,4.2
T125,125,120.88815789473684,18.914473684210524,10.279605263157894,6.990131578947368,0.78,6.391,12779.0,14.0,8000,12723.560845695036,10,0.2091,228.0,1642.0,1952.0,8.2,215.0,0.968,2622.0,2787.0,9991.0,9708.0,7.99,3.29,True,42.4,4.4
T130,130,125.72368421052632,19.67105263157895,10.69078947368421,7.269736842105263,0.78,6.391,14374.0,14.0,8000,14200.447188572958,10,0.2051,244.8,1763.0,2096.0,8.8,231.0,0.968,2918.0,3092.0,11282.0,10982.0,8.318,3.42,True,46.6,4.7
T135,135,130.55921052631578,20.42763157894737,11.101973684210527,7.549342105263158,0.78,6.391,16097.0,14.0,8000,15783.20459950486,10,0.2012,262.1,1888.0,2244.0,9.42,247.0,0.968,3233.0,3418.0,12679.0,12364.0,8.646,3.55,True,51.1,4.9
T140,140,135.39473684210526,21.184210526315788,11.513157894736842,7.828947368421052,0.78,6.391,17953.0,14.0,8000,17475.07846598289,10,0.1976,279.9,2016.0,2396.0,10.06,264.0,0.968,3569.0,3765.0,14188.0,13856.0,8.974,3.68,True,55.8,5.2
T145,145,140.23026315789474,21.940789473684212,11.924342105263158,8.108552631578947,0.78,6.391,19946.0,14.0,8000,19279.290211844225,10,0.1942,298.2,2148.0,2553.0,10.72,281.0,0.968,3927.0,4134.0,15812.0,15462.0,9.302,3.82,True,60.8,5.5
T150,150,145.0657894736842,22.69736842105263,12.335526315789473,8.388157894736842,0.78,6.391,22081.0,14.0,8000,21199.038321554755,10,0.1909,317.0,2283.0,2714.0,11.4,299.0,0.968,4306.0,4525.0,17556.0,17189.0,9.63,3.95,True,66.2,5.8
T155,155,149.90131578947367,23.45394736842105,12.746710526315788,8.667763157894736,0.78,6.391,24364.0,14.0,8000,23237.499286958944,10,0.1878,336.3,2422.0,2879.0,12.09,317.0,0.968,4708.0,4940.0,19424.0,19038.0,9.958,4.08,True,71.8,6.1
T160,160,154.73684210526315,24.210526315789473,13.157894736842104,8.947368421052632,0.78,6.391,26799.0,14.0,8000,25397.82848475141,10,0.1848,356.1,2565.0,3048.0,12.8,335.0,0.968,5132.0,5378.0,21421.0,21016.0,10.287,4.21,True,77.7,6.4
T165,165,159.57236842105263,24.967105263157894,13.569078947368421,9.226973684210526,0.78,6.391,29390.0,14.0,8000,27683.160991808905,10,0.182,376.4,2711.0,3222.0,13.53,354.0,0.968,5580.0,5840.0,23550.0,23127.0,10.615,4.34,True,84.0,6.8
T170,170,164.4078947368421,25.723684210526315,13.980263157894738,9.506578947368421,0.78,6.391,32144.0,14.0,8000,30096.61234458582,10,0.1793,397.1,2860.0,3399.0,14.28,374.0,0.968,6052.0,6327.0,25817.0,25374.0,10.943,4.47,True,90.6,7.1
T175,175,169.24342105263156,26.48026315789474,14.391447368421053,9.786184210526317,0.78,6.391,35064.0,14.0,8000,32641.279247987863,10,0.1767,418.3,3013.0,3581.0,15.04,394.0,0.968,6549.0,6840.0,28225.0,27762.0,11.272,4.61,True,97.5,7.5
T180,180,174.07894736842104,27.236842105263158,14.802631578947366,10.065789473684209,0.78,6.391,38157.0,14.0,8000,35320.24023847061,10,0.1743,440.0,3169.0,3766.0,15.82,414.0,0.968,7071.0,7378.0,30779.0,30296.0,11.6,4.74,True,104.7,7.9
T185,185,178.91447368421052,27.99342105263158,15.213815789473683,10.345394736842104,0.78,6.391,41425.0,14.0,8000,38136.55630554106,10,0.1719,462.2,3329.0,3956.0,16.62,435.0,0.968,7618.0,7942.0,33484.0,32979.0,11.929,4.87,True,112.3,8.3
T190,190,183.75,28.75,15.625,10.625,0.78,6.391,44876.0,14.0,8000,41093.271475353155,10,0.1696,484.8,3491.0,4150.0,17.43,456.0,0.968,8191.0,8533.0,36343.0,35817.0,12.257,5.0,True,120.2,8.7
T195,195,188.58552631578945,29.50657894736842,16.036184210526315,10.904605263157896,0.78,6.391,48513.0,14.0,8000,44193.41335967034,10,0.1674,507.9,3658.0,4347.0,18.26,478.0,0.968,8790.0,9151.0,39361.0,38814.0,12.586,5.13,True,128.5,9.1
T200,200,193.42105263157893,30.263157894736842,16.447368421052634,11.184210526315791,0.78,6.391,52341.0,14.0,8000,47439.9936731067,10,0.1653,531.4,3827.0,4549.0,19.1,500.0,0.968,9417.0,9798.0,42543.0,41974.0,12.915,5.26,True,137.2,9.5
